epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.3872,0.44403,0.69647,0.96119,0.92489,0.90058,0.96619,0.91483,0.29933,0.34203,0.84959,0.000157263,0.000157263,0.000157263
2,111.7,0.46724,0.48296,0.96589,0.93539,0.92506,0.96539,0.90919,0.30113,0.31433,0.84404,0.000314792,0.000314792,0.000314792
3,155.736,0.49765,0.53544,0.97525,0.92525,0.94158,0.98235,0.93074,0.31749,0.31688,0.85244,0.000471179,0.000471179,0.000471179
4,204.053,0.49399,0.50534,0.98463,0.91341,0.92248,0.97027,0.90107,0.34224,0.32834,0.86806,0.000470859,0.000470859,0.000470859
5,262.775,0.48638,0.48303,0.96823,0.93622,0.96276,0.97814,0.92121,0.32819,0.3033,0.87783,0.000469146,0.000469146,0.000469146
6,313.714,0.47755,0.48024,0.96181,0.97674,0.95307,0.984,0.93074,0.32607,0.29839,0.85359,0.000467432,0.000467432,0.000467432
7,358.814,0.46301,0.46197,0.94603,0.95676,0.95357,0.98082,0.9177,0.35057,0.31071,0.86781,0.000465718,0.000465718,0.000465718
8,404.551,0.49535,0.49565,0.98435,0.9438,0.95554,0.98226,0.91495,0.3386,0.3425,0.87146,0.000464005,0.000464005,0.000464005
9,449.839,0.49224,0.49962,0.97185,0.96896,0.95437,0.99113,0.94605,0.29695,0.28801,0.84656,0.000462291,0.000462291,0.000462291
10,497.701,0.48245,0.48721,0.97287,0.95724,0.91474,0.96698,0.91642,0.30923,0.34221,0.85191,0.000460578,0.000460578,0.000460578
11,550.035,0.4811,0.4807,0.95785,0.95368,0.9275,0.96969,0.92611,0.29757,0.31829,0.85391,0.000458864,0.000458864,0.000458864
12,596.577,0.47109,0.5223,0.95579,0.97515,0.9646,0.98889,0.94376,0.30713,0.27359,0.85431,0.00045715,0.00045715,0.00045715
13,641.385,0.48065,0.47941,0.96915,0.93507,0.95324,0.98484,0.92697,0.32214,0.32124,0.86462,0.000455437,0.000455437,0.000455437
14,686.334,0.49539,0.48472,0.98055,0.96763,0.9434,0.98298,0.93513,0.30955,0.30135,0.85566,0.000453723,0.000453723,0.000453723
15,731.111,0.49835,0.49464,0.98054,0.97758,0.95672,0.98904,0.93493,0.31873,0.28319,0.86092,0.00045201,0.00045201,0.00045201
16,775.761,0.48803,0.50394,0.96695,0.97562,0.96001,0.99066,0.94001,0.30376,0.27822,0.853,0.000450296,0.000450296,0.000450296
17,820.838,0.48423,0.48138,0.95986,0.96927,0.95842,0.98699,0.93999,0.30094,0.26923,0.8523,0.000448582,0.000448582,0.000448582
18,865.868,0.48081,0.45739,0.97028,0.95448,0.9448,0.98155,0.92815,0.31241,0.29748,0.85379,0.000446869,0.000446869,0.000446869
19,910.971,0.48021,0.45524,0.96399,0.95205,0.96667,0.98667,0.93703,0.31358,0.26856,0.85392,0.000445155,0.000445155,0.000445155
20,955.571,0.48155,0.45887,0.96747,0.95989,0.95572,0.98637,0.93159,0.30313,0.28509,0.84608,0.000443442,0.000443442,0.000443442
21,1002.12,0.49267,0.49946,0.97932,0.91197,0.93638,0.97759,0.92771,0.30747,0.31896,0.84863,0.000441728,0.000441728,0.000441728
