epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.50608,0.35682,0.32751,0.91578,0.98807,0.98422,0.99084,0.96682,0.2222,0.19606,0.80548,0.000155883,0.000155883,0.000155883
2,15.3562,0.39874,0.35511,0.93105,0.98276,0.97712,0.99091,0.95589,0.26251,0.2208,0.81964,0.000313304,0.000313304,0.000313304
3,20.632,0.40737,0.37885,0.93986,0.97944,0.96513,0.98877,0.95034,0.27417,0.2534,0.82965,0.000469469,0.000469469,0.000469469
4,25.9529,0.43815,0.45105,0.96347,0.9829,0.96619,0.99003,0.94584,0.27926,0.24383,0.8317,0.000470345,0.000470345,0.000470345
5,31.1968,0.44424,0.42269,0.94955,0.97255,0.95984,0.98647,0.93827,0.30113,0.26728,0.84036,0.00046846,0.00046846,0.00046846
6,36.6328,0.45426,0.41836,0.95152,0.97398,0.95614,0.98331,0.93408,0.29767,0.28062,0.83845,0.000466575,0.000466575,0.000466575
7,41.8156,0.45285,0.42178,0.94851,0.96319,0.95283,0.98493,0.93263,0.30788,0.27173,0.83646,0.00046469,0.00046469,0.00046469
8,47.2074,0.44232,0.41912,0.95019,0.97611,0.95641,0.9864,0.93536,0.31104,0.27371,0.84462,0.000462805,0.000462805,0.000462805
9,52.5974,0.49434,0.51286,0.9988,0.97127,0.96769,0.98854,0.93602,0.31062,0.27498,0.84259,0.00046092,0.00046092,0.00046092
10,57.9026,0.45665,0.45025,0.95555,0.98647,0.95802,0.99005,0.94357,0.30076,0.25901,0.83802,0.000459035,0.000459035,0.000459035
11,63.3371,0.45484,0.42924,0.94908,0.97961,0.96497,0.98869,0.93361,0.31523,0.27063,0.84171,0.00045715,0.00045715,0.00045715
12,68.4932,0.49565,0.4842,0.97953,0.97789,0.96394,0.98781,0.93687,0.30703,0.27188,0.84304,0.000455265,0.000455265,0.000455265
13,73.855,0.44843,0.43315,0.95841,0.96804,0.9589,0.98583,0.93746,0.30268,0.27919,0.84269,0.00045338,0.00045338,0.00045338
14,78.9909,0.45484,0.50998,0.95428,0.98597,0.9551,0.98828,0.93694,0.30689,0.26931,0.84117,0.000451496,0.000451496,0.000451496
15,84.3012,0.45403,0.43069,0.9571,0.96588,0.96793,0.98859,0.93577,0.30246,0.26347,0.83704,0.000449611,0.000449611,0.000449611
16,89.7371,0.4686,0.45542,0.97299,0.97959,0.95635,0.98702,0.93867,0.308,0.27238,0.83964,0.000447726,0.000447726,0.000447726
17,95.2597,0.50105,0.49343,1.05298,0.97767,0.97024,0.99168,0.9361,0.31801,0.25536,0.83982,0.000445841,0.000445841,0.000445841
18,100.813,0.46564,0.44344,0.95866,0.98514,0.96925,0.99196,0.94609,0.29497,0.25653,0.84133,0.000443956,0.000443956,0.000443956
